item,entropy,expected_logprob,within_logprob,between_logprob
1,4.459466934204102,-1.662679672241211,-7.618442058563232,-7.881406307220459
2,5.354414939880371,-4.877366065979004,-4.704527854919434,-6.856602668762207
3,3.9312820434570312,-1.8834104537963867,-7.768527030944824,-9.182123184204102
4,5.597558498382568,-3.4008312225341797,-8.152872085571289,-8.65404987335205
5,3.0201053619384766,-3.958491325378418,-4.68265438079834,-7.975464344024658
6,2.5683581829071045,-0.9772777557373047,-6.366022109985352,-9.566779136657715
7,5.363704681396484,-3.707810401916504,-6.6504034996032715,-7.737814903259277
8,5.884228706359863,-3.9007606506347656,-6.415234565734863,-7.489574432373047
9,4.109818458557129,-1.9481840133666992,-4.727514266967773,-10.75703239440918
10,4.435237407684326,-3.2345504760742188,-6.698596000671387,-12.558432579040527
11,4.618910789489746,-8.198104858398438,-12.94517993927002,-10.673222541809082
12,3.6385412216186523,-2.213759422302246,-9.7623872756958,-9.344423294067383
13,3.532984495162964,-2.1070985794067383,-4.233949661254883,-5.264926910400391
14,2.9110372066497803,-2.068094253540039,-4.385184288024902,-10.256719589233398
15,1.10117769241333,-0.20462799072265625,-3.293212890625,-8.587136268615723
16,2.9490039348602295,-1.8808002471923828,-5.2246246337890625,-6.181403160095215
17,4.920339107513428,-9.19165325164795,-6.222368240356445,-8.93657112121582
18,3.3197460174560547,-5.860905647277832,-10.147765159606934,-8.2639799118042
19,5.285327911376953,-2.3638715744018555,-8.907642364501953,-11.0946683883667
20,4.861400127410889,-3.2602615356445312,-7.9182024002075195,-11.103606224060059
21,4.351502418518066,-2.683182716369629,-3.6142358779907227,-5.910408020019531
22,2.141592264175415,-1.1650896072387695,-5.35832405090332,-7.892656326293945
23,2.282259702682495,-0.6052656173706055,-4.691632270812988,-8.965076446533203
24,2.201691150665283,-0.3524169921875,-5.524423599243164,-8.12790298461914
25,4.256025791168213,-1.492051124572754,-4.981472015380859,-9.363105773925781
26,4.367239952087402,-1.6836347579956055,-4.25399112701416,-11.898429870605469
27,5.12831974029541,-2.372523307800293,-3.45052433013916,-6.380971908569336
28,5.4465532302856445,-3.833247184753418,-9.069463729858398,-7.160387992858887
29,4.1450114250183105,-3.676619529724121,-4.668910980224609,-9.694968223571777
30,5.328657627105713,-2.444027900695801,-7.540285587310791,-11.24502182006836
31,3.0935311317443848,-1.9431304931640625,-5.657340049743652,-11.513449668884277
32,2.813422679901123,-0.9606094360351562,-6.953051567077637,-10.598304748535156
33,2.839073657989502,-0.7663764953613281,-5.696381568908691,-2.9742612838745117
34,2.3495142459869385,-0.9020195007324219,-4.60838508605957,-6.064801216125488
35,0.9816616177558899,-0.17575454711914062,-3.968600273132324,-6.088266372680664
36,3.1728405952453613,-1.9781427383422852,-10.28357219696045,-8.550724029541016
37,6.052195072174072,-2.4658756256103516,-11.096999168395996,-7.950232982635498
38,3.8088645935058594,-6.962185859680176,-5.569802284240723,-6.449899673461914
39,3.8232131004333496,-5.305718421936035,-5.986602783203125,-6.789161682128906
40,5.60115385055542,-5.700803756713867,-6.837793350219727,-6.919475078582764
41,4.654438018798828,-1.3392744064331055,-5.278622627258301,-8.281671524047852
42,5.20108699798584,-7.605326175689697,-6.818905830383301,-11.200593948364258
43,3.361562728881836,-3.334146499633789,-5.487775802612305,-10.306042671203613
44,6.927757263183594,-3.318732261657715,-6.961722373962402,-10.010408401489258
45,5.3526411056518555,-7.444947242736816,-8.554401397705078,-13.378174781799316
46,1.9354323148727417,-8.490707397460938,-10.738391876220703,-12.154427528381348
47,5.865096569061279,-3.945648193359375,-6.0546674728393555,-10.257110595703125
48,6.162233829498291,-5.8614091873168945,-4.964035987854004,-7.367580890655518
49,2.899261951446533,-0.5568065643310547,-6.307960510253906,-4.689739227294922
50,2.3759028911590576,-0.43770885467529297,-8.77541732788086,-4.473219871520996
51,5.102019309997559,-1.1415891647338867,-5.113177299499512,-8.98074722290039
52,1.0199249982833862,-0.21253204345703125,-8.349538803100586,-11.725266456604004
53,1.9153109788894653,-4.848761558532715,-10.330329895019531,-7.538836479187012
54,4.931247711181641,-11.22240924835205,-9.737079620361328,-9.04593276977539
55,2.6056442260742188,-4.303964614868164,-8.749231338500977,-12.795244216918945
56,5.22359561920166,-2.7079572677612305,-5.4649248123168945,-8.410595893859863
57,3.386159658432007,-1.6955080032348633,-5.309576034545898,-8.740341186523438
58,3.870356559753418,-2.014767646789551,-3.7509241104125977,-9.604410171508789
59,4.456045627593994,-3.5778045654296875,-7.506924629211426,-6.610335350036621
60,5.997743606567383,-4.9080705642700195,-6.742785930633545,-3.2631025314331055
61,5.683269023895264,-8.001054763793945,-8.922648429870605,-10.554251670837402
62,5.374864101409912,-6.391801834106445,-7.0561203956604,-8.808216094970703
63,4.564354419708252,-3.593088150024414,-7.807106018066406,-11.17087173461914
64,4.705319404602051,-4.777002334594727,-4.226241111755371,-10.737625122070312
65,2.9348394870758057,-3.6036911010742188,-7.189681053161621,-12.866119384765625
66,4.670341968536377,-3.0122194290161133,-5.4967145919799805,-12.815673828125
67,5.521711826324463,-3.4930906295776367,-7.530231952667236,-6.77518367767334
68,4.910006046295166,-2.032949447631836,-5.79010009765625,-8.911761283874512
