item,entropy,expected_logprob,within_logprob,between_logprob
1,4.545418739318848,-3.6373095512390137,-8.469018936157227,-8.309868812561035
2,5.125855445861816,-6.158208847045898,-5.238624572753906,-7.95845890045166
3,4.758493900299072,-3.707724094390869,-7.473147392272949,-10.129693984985352
4,4.6419782638549805,-7.122244358062744,-9.150185585021973,-10.058724403381348
5,4.080408096313477,-3.8950910568237305,-4.579127788543701,-8.470290184020996
6,3.5028581619262695,-2.0790390968322754,-8.346516609191895,-9.140740394592285
7,7.092576026916504,-7.480716705322266,-10.007911682128906,-8.015035629272461
8,6.033713340759277,-4.297072410583496,-6.135488033294678,-7.775487422943115
9,5.166216850280762,-3.2877860069274902,-3.0576624870300293,-10.030064582824707
10,4.681124687194824,-4.676266670227051,-8.064058303833008,-5.881847858428955
11,6.02232551574707,-4.783133506774902,-9.715777397155762,-4.632901191711426
12,5.667881488800049,-3.9160642623901367,-4.26890230178833,-2.7404963970184326
13,3.2101621627807617,-2.4332618713378906,-4.871068954467773,-7.078266620635986
14,3.6068482398986816,-2.199016571044922,-4.001079559326172,-8.268312454223633
15,1.2237404584884644,-0.5045871734619141,-4.99491024017334,-9.152144432067871
16,4.313775062561035,-1.5739564895629883,-3.8444786071777344,-5.181097984313965
17,6.432182788848877,-2.9672505855560303,-3.7143709659576416,-4.645357131958008
18,4.846935272216797,-3.777458906173706,-2.723618984222412,-9.536608695983887
19,5.598349571228027,-6.860539436340332,-4.165984630584717,-2.879413604736328
20,5.527703285217285,-2.8651299476623535,-8.382579803466797,-4.740669250488281
21,4.897968292236328,-6.131389617919922,-5.131873607635498,-5.863406658172607
22,3.405491590499878,-2.110926628112793,-6.275709629058838,-6.913629055023193
23,3.541423797607422,-1.5406341552734375,-3.559276580810547,-8.230367660522461
24,5.2055535316467285,-1.4860068559646606,-4.307257652282715,-5.99574089050293
25,5.019656658172607,-2.154817581176758,-4.327463150024414,-7.349312782287598
26,5.0421247482299805,-3.3905858993530273,-4.667910575866699,-6.322877407073975
27,4.660549640655518,-3.764385938644409,-5.361326694488525,-5.140598773956299
28,5.204659461975098,-5.14290714263916,-5.23351526260376,-7.001718521118164
29,4.8892412185668945,-3.032139778137207,-4.90535831451416,-8.341508865356445
30,5.93518590927124,-3.41709041595459,-3.2086215019226074,-9.065135955810547
31,5.360505104064941,-3.0034446716308594,-5.545723915100098,-6.804887771606445
32,4.69872522354126,-3.463383674621582,-7.92076301574707,-4.361191749572754
33,5.346732139587402,-3.0117101669311523,-6.120823383331299,-5.923017501831055
34,4.775235176086426,-2.4666638374328613,-5.531087875366211,-7.355119705200195
35,5.151049613952637,-2.0955541133880615,-4.438962459564209,-3.9374639987945557
