item,entropy,expected_logprob,within_logprob,between_logprob
1,4.922875881195068,-2.2523269653320312,-6.784875392913818,-5.882575988769531
2,4.720848083496094,-6.951751708984375,-4.82672119140625,-6.2856903076171875
3,4.304867744445801,-2.5166091918945312,-6.440498352050781,-9.799125671386719
4,4.948737621307373,-3.5572052001953125,-9.146240234375,-9.716178894042969
5,1.2755101919174194,-0.2052459716796875,-5.229461669921875,-7.737297058105469
6,4.814861297607422,-1.6647872924804688,-6.319419860839844,-7.1640167236328125
7,6.161450386047363,-5.980049133300781,-9.340690612792969,-8.700584411621094
8,6.208796977996826,-5.420799255371094,-7.3009185791015625,-7.5700531005859375
9,4.885532379150391,-2.7402725219726562,-4.931667327880859,-10.708786010742188
10,4.9584197998046875,-6.662287712097168,-4.588348388671875,-10.542747497558594
11,4.03341817855835,-6.514335632324219,-11.980712890625,-11.248115539550781
12,5.242990016937256,-3.5154266357421875,-8.017738342285156,-7.130470275878906
13,3.8859550952911377,-2.2227249145507812,-3.3168258666992188,-4.7101898193359375
14,2.8127546310424805,-1.2366409301757812,-4.033409118652344,-9.524505615234375
15,2.34031081199646,-0.7425422668457031,-2.062244415283203,-7.763591766357422
16,3.2068209648132324,-1.6620941162109375,-4.537456512451172,-5.4429779052734375
17,5.369685173034668,-12.09189224243164,-8.042976379394531,-6.278167724609375
18,4.739180564880371,-6.182003021240234,-13.906257629394531,-7.357204437255859
19,4.1090264320373535,-1.063934326171875,-8.435035705566406,-13.92593002319336
20,5.094207763671875,-2.192169189453125,-7.395805358886719,-11.240093231201172
21,4.428071975708008,-2.095458984375,-3.8441238403320312,-6.003669738769531
22,2.739135980606079,-1.2955322265625,-5.803688049316406,-7.438835144042969
23,2.8715908527374268,-0.9311065673828125,-5.686458587646484,-7.921321868896484
24,4.569451332092285,-1.3537521362304688,-4.79046630859375,-7.654655456542969
25,5.24770450592041,-1.9464569091796875,-3.6337966918945312,-8.723365783691406
26,4.560635566711426,-3.3175277709960938,-5.138641357421875,-9.344474792480469
27,4.774903774261475,-4.347618103027344,-3.6088790893554688,-6.1685638427734375
28,4.549702167510986,-6.682411193847656,-11.18951416015625,-8.164817810058594
29,4.54725456237793,-4.744152069091797,-5.0822601318359375,-9.082321166992188
30,5.31322717666626,-2.8512420654296875,-5.500833511352539,-8.738824844360352
31,3.4747567176818848,-1.8720550537109375,-6.2872772216796875,-12.092529296875
32,4.853487491607666,-3.9425582885742188,-7.637176513671875,-7.060218811035156
33,2.2992303371429443,-0.9112167358398438,-6.7337188720703125,-5.259468078613281
34,3.6713502407073975,-1.360504150390625,-3.570465087890625,-5.013824462890625
35,2.623140811920166,-1.0358200073242188,-3.0221481323242188,-5.8980712890625
36,3.1398119926452637,-5.619354248046875,-11.383354187011719,-8.429161071777344
37,5.549990653991699,-3.5690460205078125,-10.9261474609375,-8.030517578125
38,4.817017078399658,-5.935691833496094,-5.7095947265625,-5.219596862792969
39,3.965926170349121,-5.132850646972656,-7.203178405761719,-8.054611206054688
40,5.075876235961914,-5.611968994140625,-6.5026092529296875,-6.6535797119140625
41,5.285087585449219,-2.6820526123046875,-8.053176879882812,-9.58953857421875
42,4.845038414001465,-8.507858276367188,-7.350257873535156,-11.670509338378906
43,3.2832601070404053,-2.5992889404296875,-6.051139831542969,-11.084297180175781
44,6.883196830749512,-3.0561294555664062,-6.98968505859375,-10.551055908203125
45,5.90942907333374,-6.922706604003906,-7.343328475952148,-14.962621688842773
46,2.436164379119873,-8.4866943359375,-10.126274108886719,-11.250171661376953
